titulares,medio,titulares_norm
la extraña explicación que novak djokovic dio en wimbledon: 'crecí en las montañas con los lobos',clarin,extraño explicación novak djokovic dar wimbledon crecer montaña lobo
alquileres: las casas aumentaron un 50% más que los departamentos,clarin,alquiler casa aumentar 50/100 departamento
tarjeta alimentar: ampliarán la cobertura con un aporte de u$s 200 millones del bid,clarin,tarjeta alimentar ampliar cobertura aporte u$s 200 millón bid
opinión: la variante delta golpea la puerta pero el nuevo enemigo es el que viaja a miami. por jorge lanata,clarin,opinión variante delta golpear puerta nuevo enemigo ser viajar miami jorge lanata
opinión: pfizer o perón. por,clarin,opinión pfizer perón
"según economía, la cantidad de gente ocupada volvió a niveles prepandemia",clarin,según economía cantidad gente ocupado volver nivel prepandemio
rugby: los pumas se miden ante rumania en su primer partido del año,clarin,rugby puma medir rumania primero partido año
se ahogó un multimillonario y nadie puede acceder a sus 2 mil millones de dólares en criptomonedas,clarin,ahogar multimillonario nadie poder acceder 2 mil millón dólar criptomoneda
crítica de las empresas estadounidenses al proyecto de etiquetado de alimentos que votará diputados,clarin,crítica empresa estadounidense proyecto etiquetado alimento votar diputado
por qué la madre de guadalupe descartó la pista que dio el playero de la estación de servicio de mendoza,clarin,madre guadalupe descartar pista dar playero estación servicio mendoza
"para frenar los brotes de covid 19, australia reduce el número de viajeros autorizados a entrar en el país",clarin,frenar brote covid 19 australia reducir número viajero autorizado entrar país
plan qunita: aníbal fernández insultó a graciela ocaña por sus objeciones al dictamen de una fiscal,clarin,plan qunito aníbal fernández insultar graciela ocaño objeción dictamen fiscal
"l-gante: 'la notebook del gobierno no la tuve en la escuela, la cambié por un celular'",clarin,l-gantar notebook gobierno tener escuela cambiar celular
sha'carri richardson dio positivo por marihuana y se pierde los juegos olímpicos,clarin,shacarrar richardson dar positivo marihuana perder juego olímpico
se renovó el cupo de us$ 200: cómo saber si podes comprar,clarin,renovar cupo us$ 200 cómo saber si poder comprar
jim morrison: el ícono contracultural que hace 50 años encontró la muerte en una bañera de parís,clarin,jim morrison ícono contracultural hacer 50 año encontrar muerte bañera par
ailén bechara mostró su lujoso departamento ubicado en una torre de puerto madero,clarin,ailén bechar mostrar lujoso departamento ubicado torre puerto madero
investigan al inspector que consideró que la torre de florida estaba en 'buen estado',clarin,investigar inspector considerar torre florida buen
porsche llama a revisión a 43.000 autos eléctricos en todo el mundo,clarin,porsche llamar revisión 43000 auto eléctrico mundo
cómo solicitar un turno en pami: todas las opciones para comunicarse rápido,clarin,cómo solicitar turno pami opción comunicar rápido
cecilia bolocco fue víctima de una broma vulgar en instagram,clarin,cecilia bolocco ser víctima broma vulgar instagram
pami vacunación antigripal: cómo acceder al beneficio exclusivo para afiliados,clarin,pami vacunación antigripal cómo acceder beneficio exclusivo afiliado
"españa vs suiza, por la eurocopa: el gol en contra que le rompió un récord al legendario michel platini",clarin,españa vs suizo eurocopa gol romper récord legendario michel platini
fórmula 1 en vivo: cómo ver por tv y online los entrenamientos y la clasificación del gp de austria,clarin,fórmula 1 vivo cómo ver tv online entrenamiento clasificación gp austria
"elisa carrió culpa a cristina kirchner por la demora del acuerdo con pfizer: ""sobre su conciencia van a pesar las muertes de miles de argentinos""",clarin,"elisa carrió culpar cristina kirchner demora acuerdo pfizer "" conciencia ir pesar muerte mil argentino """
el gobierno prorrogó la intervención del servicio penitenciario federal por 180 días,clarin,gobierno prorrogar intervención servicio penitenciario federal 180 día
la justicia espera que este mes astrazeneca entregue más de 15 millones de vacunas,clarin,justicia esperar mes astrazeneca entregar 15 millón vacuna
nba: milwaukee bucks venció a atlanta hawks y lidera 3-2 la final de la conferencia este,clarin,nba milwaukee bucks vencer atlanta hawks liderar 3-2 final conferencia
la voz argentina: polémica y rumores de cambios en el jurado,clarin,voz argentino polémica rumor cambio jurado
moda invierno: los abrigos suman nuevos colores,clarin,moda invierno abrigo sumar nuevo color
"por la deuda y la grieta, argentina es uno de los países con mayor riesgo crediticio",clarin,deuda grieta argentino ser país mayor riesgo crediticio
boca y un mercado de pases que apunta a sudamérica y que se transformó en un rompecabezas,clarin,boca mercado pase apuntar sudamérica transformar rompecabeza
5 de julio  l-gante .,clarin,5 julio l-gante
"dólar vigilado: de cara a las elecciones, el gobierno no quiere turbulencias en el mercado cambiario",clarin,dólar vigilar cara elección gobierno querer turbulencia mercado cambiario
críticas de la oposición por la demora en el cambio de la ley de vacunas,clarin,crítica oposición demora cambio ley vacuna
"dictan falta de mérito para dietrich, iguacel y dujovne en la causa peajes y ordenan peritaje interdisciplinario",clarin,dictar falta mérito dietrich iguacel dujover causa peaje ordenar peritaje interdisciplinario
el impacto de la pandemia: cuántas más muertes hubo en el país en 2020 por el covid,clarin,impacto pandemia cuánto muerte haber país 2020 covid
monotributo: qué cambia con el nuevo régimen,clarin,monotributo cambiar nuevo régimen
fórmula 1: mercedes reacciona y hamilton le saca el mejor tiempo a verstappen,clarin,fórmula 1 mercede reaccionar hamilton sacar mejor tiempo verstappen
la salud de lía crucet: 'es día a día hasta que dios se la lleve',clarin,salud lía crucet ser día día dio llevar
renault suspende la contratación de 360 operarios por no tener 'garantías' de provisión de piezas,clarin,renault suspender contratación 360 operario tener garantía provisión pieza
cocinaron en la cárcel y ahora estudian para ser chefs y llegar al emprendimiento propio,clarin,cocinar cárcel ahora estudiar ser chef llegar emprendimiento propio
todo lo que nunca supiste que podías lograr,clarin,nunca supir poder lograr
"cristiano ronaldo gana más como influencer que como futbolista: 1,6 millones por una publicación en instagram",clarin,cristiano ronaldo ganar influencer futbolista 16 millón publicación instagram
"coronavirus: argentina superó las 95 mil muertes y los 4,5 millones de contagios",clarin,coronaviru argentino superar 95 mil muerte 45 millón contagio
"después del escándalo con johnny depp, amber heard fue madre por un vientre de alquiler",clarin,después escándalo johnny depp amber heard ser madre vientre alquiler
la aprobación de la compra de la vacuna pfizer permitirá vacunar a los menores de 18 años: qué dicen los expertos,clarin,aprobación compra vacuna pfizer permitir vacunar menor 18 año decir experto
"el sufrimiento y la reacción viral de roger federer, que vivió a pleno el españa vs suiza por la eurocopa",clarin,sufrimiento reacción viral roger federer vivir pleno españa vs suizo eurocopa
¿israel está por destruir casi un millón de vacunas de pfizer contra el covid?,clarin,israel destruir casi millón vacuna pfizer covid
"excluida de los juegos olímpicos, sha'carri richardson pidió disculpas y explicó qué la llevó a consumir marihuana",clarin,excluido juego olímpico shacarri richardson pedir disculpa explicar llevar consumir marihuana
"coronavirus: carla vizzotti y vilma ibarra anuncian la actualización de la ley de vacunas para comprar dosis de pfizer, moderna y janssen",clarin,coronaviru carla vizzotti vilma ibarro anunciar actualización ley vacuna comprar dosis pfizer moderno janssen
las exigencias de wanda nara para participar de 'masterchef celebrity 3',clarin,exigencia wanda naro participar masterchef celebrity 3
polémica en ee.uu: la policía usa música para que youtube baje los videos de sus operativos,clarin,polémica eeuu policía usar música youtube bajar video operativo
diego schwartzman se despidió de wimbledon otra vez en tercera ronda,clarin,diego schwartzman despedir wimbledon vez tercero ronda
moda y reciclaje: aprovechan silobolsas para hacer accesorios,clarin,moda reciclaje aprovechar silobolsa hacer accesorio
la confesión inesperada de gallardo: 'me encantaría ser el entrenador de la selección en un futuro',clarin,confesión inesperado gallardo encantar ser entrenador selección futuro
"vuelos en globo: orígenes, anécdotas y dónde vivir la experiencia en argentina",clarin,vuelo globo origen anécdota dónde vivir experiencia argentino
polémica por la financiación de las represas chinas en santa cruz,clarin,polémica financiación represa chino santo cruz
"tras presentar un hábeas corpus, la oposición se reunió por zoom con los varados en el exterior: 'este nuevo cepo es un agravio'",clarin,tras presentar hábea corpus oposición reunir zoom varado exterior nuevo cepo ser agravio
federico bal bajó 14 kilos y compartió fotos de su cambio físico,clarin,federico bal bajar 14 kilo compartir foto cambio físico
derrumbe en miami: un rescatista halló el cuerpo de su hija entre los escombros,clarin,derrumbe miami rescatista hallar cuerpo hija escombro
"este año el déficit con brasil llegará a us$ 2000 millones, casi el triple que en 2020",clarin,año déficit brasil llegar us$ 2000 millón casi triple 2020
un gobernador de brasil admite que es gay y agita la campaña para las presidenciales de 2022,clarin,gobernador brasil admitir ser gay agitar campaña presidencial 2022
tucumán: desesperada búsqueda de una nena de 4 años de la que nada se sabe desde ayer,clarin,tucumán desesperado búsqueda nena 4 año saber ayer
"'tengo dólares, arreglamos y listo': un policía motochorro y una persecución de película",clarin,tener dólar arreglar listo policía motochorro persecución película
"copa américa: argentina enfrenta a ecuador, un duelo lleno de historia, goleadas y récords",clarin,copa américo argentino enfrentar ecuador duelo lleno historia goleado récord
"con aumentos del 3%, cuánto cuesta tu auto usado en julio",clarin,aumento 3/100 cuánto costar auto usado julio
"la trama de la estatización de ypf, antonio brufau, y 'los zurdos' que rodeaban a cristina",clarin,trama estatización ypf antonio brufau zurdo rodear cristina
nicolás kreplak advirtió que podrían volver las restricciones fuertes y desalentó viajar en vacaciones de invierno,clarin,nicolás kreplak advertir poder volver restricción fuerte desalentar viajar vacaciones invierno
colombia: el gobierno apuntó a una 'alianza criminal' como autores del ataque al presidente iván duque,clarin,colombia gobierno apuntar alianza criminal autor ataque presidente iván duque
"parque de agronomía: a 15 meses de su cierre al público, no planean reabrirlo y la ciudad se niega a interceder ante la uba",clarin,parque agronomía 15 mes cierre público planear reabrir ciudad negar interceder uba
"luka modric, el sobreviviente: la vigencia del crack al que le decían que era muy flaquito para triunfar en el fútbol",clarin,luka modric sobreviviente vigencia crack decir ser flaquito triunfar fútbol
